,,,,,
Valve,Date and Time,Quantity [gal],Quantity Accumulator [gal],Time Duration,Time Accumulator
3/22/2023,,,,,
DC 7_DV 2_786,3/22/2023,,,00:12:00,18:21:18
DC 7_DV 1_786,3/22/2023,,,00:12:00,18:01:00
DC 7_MPV 1_786,3/22/2023,,,00:24:00,30:12:00
DC 7_MPV 2_786,3/22/2023,,,00:24:00,30:01:46
DC 7_MPV 3_786,3/22/2023,,,00:24:00,30:00:00
DC 3_DV 3_786,3/22/2023,900,32900,00:12:00,18:32:01
DC 3_BV 1_786,3/22/2023,1100,29600,00:10:00,14:43:22
DC 3_MPV 6_786,3/22/2023,2800,86300,00:24:00,29:49:39
DC 3_MPV 4_786,3/22/2023,2000,58700,00:24:00,46:50:11
DC 3_MPV 8_786,3/22/2023,700,34700,00:24:00,29:53:26
DC 3_BV 2_786,3/22/2023,700,12300,00:10:00,11:10:35
DC 3_MPV 5_786,3/22/2023,2800,39200,00:24:00,22:30:54
DC 3_MPV 7_786,3/22/2023,2600,31700,00:24:00,22:10:23
DC 4_DV 4_786,3/22/2023,200,24800,00:12:00,19:32:43
DC 4_BV 3_786,3/22/2023,600,37000,00:10:00,19:49:21
DC 4_MPV 9_786,3/22/2023,1000,43100,00:24:00,33:59:54
DC 4_MPV 13_786,3/22/2023,600,43600,00:24:00,30:25:16
DC 4_MPV 11_786,3/22/2023,0,72000,00:24:00,30:11:01
DC 4_DV 5_786,3/22/2023,200,11900,00:12:00,18:20:23
DC 4_BV 4_786,3/22/2023,400,18200,00:10:00,14:06:00
DC 4_MPV 14_786,3/22/2023,1000,46700,00:24:00,30:02:06
DC 4_MPV 10_786,3/22/2023,1400,49200,00:24:00,30:20:17
DC 4_MPV 12_786,3/22/2023,0,45600,00:24:00,30:11:40
DC 4_DUMMY,3/22/2023,3000,142300,02:00:02,172:31:58
DC 3_DUMMY,3/22/2023,0,62000,02:00:02,166:30:26
Total 3/22/2023,,,,11:16:04,
3/23/2023,,,,,
DC 7_DV 2_786,3/23/2023,,,00:12:00,18:33:18
DC 7_DV 1_786,3/23/2023,,,00:12:00,18:13:00
DC 7_MPV 1_786,3/23/2023,,,00:24:00,30:36:00
DC 7_MPV 2_786,3/23/2023,,,00:24:00,30:25:46
DC 7_MPV 3_786,3/23/2023,,,00:24:00,30:24:00
DC 3_DV 3_786,3/23/2023,900,33800,00:12:00,18:44:01
