,,,,,
Valve,Date and Time,Quantity [gal],Quantity Accumulator [gal],Time Duration,Time Accumulator
3/20/2023,,,,,
SV01,3/20/2023,0,48900,00:15:00,12:33:52
SV02,3/20/2023,,,00:15:00,12:26:12
SV03,3/20/2023,0,28500,00:15:00,12:30:01
DV01,3/20/2023,0,29400,00:15:02,12:41:30
DV02,3/20/2023,,,00:15:00,12:38:06
US-FAKEVALVE,3/20/2023,,,00:15:00,12:15:00
Total 3/20/2023,,0,,01:30:02,
3/21/2023,,,,,
SV01,3/21/2023,0,48900,00:04:49,12:38:41
SV02,3/21/2023,,,00:00:00,12:26:12
SV03,3/21/2023,0,28500,00:04:50,12:34:51
DV01,3/21/2023,0,29400,00:00:00,12:41:30
DV02,3/21/2023,,,00:00:00,12:38:06
US-FAKEVALVE,3/21/2023,,,00:00:00,12:15:00
Total 3/21/2023,,0,,00:09:39,
3/22/2023,,,,,
SV01,3/22/2023,0,48900,00:26:57,13:05:38
SV02,3/22/2023,,,00:24:52,12:51:04
SV03,3/22/2023,0,28500,00:26:31,13:01:22
DV01,3/22/2023,0,29400,00:15:02,12:56:32
DV02,3/22/2023,,,00:15:00,12:53:06
US-FAKEVALVE,3/22/2023,,,00:15:00,12:30:00
Total 3/22/2023,,0,,02:03:22,
3/23/2023,,,,,
SV01,3/23/2023,1500,50400,00:15:00,13:20:38
SV02,3/23/2023,,,00:15:00,13:06:04
SV03,3/23/2023,900,29400,00:15:00,13:16:22
DV01,3/23/2023,1000,30400,00:15:02,13:11:34
DV02,3/23/2023,,,00:15:00,13:08:06
US-FAKEVALVE,3/23/2023,,,00:15:00,12:45:00
Total 3/23/2023,,3400,,01:30:02,
3/24/2023,,,,,
SV01,3/24/2023,0,50400,00:00:00,13:20:38
SV02,3/24/2023,,,00:00:00,13:06:04
SV03,3/24/2023,0,29400,00:00:00,13:16:22
DV01,3/24/2023,0,30400,00:00:00,13:11:34
DV02,3/24/2023,,,00:00:00,13:08:06
US-FAKEVALVE,3/24/2023,,,00:00:00,12:45:00
Total 3/24/2023,,0,,00:00:00,
3/25/2023,,,,,
SV01,3/25/2023,1500,51900,00:15:00,13:35:38
SV02,3/25/2023,,,00:15:00,13:21:04
SV03,3/25/2023,900,30300,00:15:00,13:31:22
DV01,3/25/2023,1000,31400,00:15:02,13:26:36
DV02,3/25/2023,,,00:15:00,13:23:06
US-FAKEVALVE,3/25/2023,,,00:15:00,13:00:00
Total 3/25/2023,,3400,,01:30:02,
3/26/2023,,,,,
SV01,3/26/2023,0,51900,00:00:00,13:35:38
SV02,3/26/2023,,,00:00:00,13:21:04
SV03,3/26/2023,0,30300,00:00:00,13:31:22
DV01,3/26/2023,0,31400,00:00:00,13:26:36
DV02,3/26/2023,,,00:00:00,13:23:06
US-FAKEVALVE,3/26/2023,,,00:00:00,13:00:00
Total 3/26/2023,,0,,00:00:00,
3/27/2023,,,,,
SV01,3/27/2023,1500,53400,00:15:00,13:50:38
SV02,3/27/2023,,,00:15:00,13:36:04
SV03,3/27/2023,900,31200,00:15:00,13:46:22
DV01,3/27/2023,1000,32400,00:15:02,13:41:38
DV02,3/27/2023,,,00:15:00,13:38:06
US-FAKEVALVE,3/27/2023,,,00:15:00,13:15:00
Total 3/27/2023,,3400,,01:30:02,
3/28/2023,,,,,
SV01,3/28/2023,1500,54900,00:15:00,14:05:38
SV02,3/28/2023,,,00:15:00,13:51:04
SV03,3/28/2023,900,32100,00:15:00,14:01:22
DV01,3/28/2023,1000,33400,00:15:02,13:56:40
DV02,3/28/2023,,,00:15:00,13:53:06
US-FAKEVALVE,3/28/2023,,,00:15:00,13:30:00
Total 3/28/2023,,3400,,01:30:02,
Total,,13600,,09:43:11,
,,,,,
