valve,GPM,lat,lon
DC 3_DV 3_786,27.7410735,25.362965,51.494583
DC 3_BV 1_786,33.9938234,25.362865,51.494483
DC 3_MPV 6_786,50.7265344,25.362765,51.494383
DC 3_MPV 4_786,46.71949045,25.362665,51.494283
DC 3_MPV 8_786,14.971373,25.362565,51.494183
DC 3_BV 2_786,32.01231815,25.362465,51.494083
DC 3_MPV 5_786,44.3857176,25.362365,51.493983
DC 3_MPV 7_786,44.3857176,25.362265,51.493883
DC 4_DV 4_786,19.374718,25.362165,51.493783
DC 4_BV 3_786,46.01495525,25.362065,51.493683
DC 4_MPV 9_786,31.6160171,25.361965,51.493583
DC 4_MPV 13_786,19.24261765,25.361865,51.493483
DC 4_MPV 11_786,47.556126,25.361765,51.493383
DC 4_DV 5_786,13.51826915,25.361665,51.493283
DC 4_BV 4_786,29.98677945,25.361565,51.493183
DC 4_MPV 14_786,34.83045895,25.361465,51.493083
DC 4_MPV 10_786,47.556126,25.361365,51.492983
DC 4_MPV 12_786,48.39276155,25.361265,51.492883
