valve,GPM,lat,lon
BV1,13.5,25.363465,51.495083
BV1A,12.33,25.363365,51.494983
BV1B,32.94,25.363265,51.494883
BV2,3,25.363165,51.494783
BV2A,12.86,25.363065,51.494683
BV3,2.5,25.362965,51.494583
BV4A,14,25.362865,51.494483
BV5A,7,25.362765,51.494383
DV1,6.37,25.362665,51.494283
DV10,16.78,25.362565,51.494183
DV11,20.68,25.362465,51.494083
DV1B,12.29,25.362365,51.493983
DV2,3.97,25.362265,51.493883
DV2B,21.53,25.362165,51.493783
DV3,18.62,25.362065,51.493683
DV4,36.39,25.361965,51.493583
DV5,9.4,25.361865,51.493483
DV6,8.27,25.361765,51.493383
DV7,14.59,25.361665,51.493283
DV8,9.21,25.361565,51.493183
DV9,42.05,25.361465,51.493083
RV1,27.6,25.361165,51.492783
RV1A,17.97,25.361065,51.492683
RV1B,47.91,25.360965,51.492583
RV2,55.2,25.360865,51.492483
RV2A,41.92,25.360765,51.492383
RV2B,59.89,25.360665,51.492283
RV3,52.63,25.360565,51.492183
RV3A,65.87,25.360465,51.492083
RV3B,53.9,25.360365,51.491983
RV4,18.85,25.360265,51.491883
RV4A,35.93,25.360165,51.491783
RV4B,65.87,25.360065,51.491683
RV5,34.08,25.359965,51.491583
RV5A,23.95,25.359865,51.491483
RV5B,47.91,25.359765,51.491383
